Sr. No.,Company Name,Job Title,Salaries Reported,Location,Salary,Average Salary,Weighted Average Salary,Median Salary,Level,Years of Exp
1,Mu Sigma,Data Scientist,105,Bangalore,64857,96489,89337,72000,Junior,1-6
2,IBM,Data Scientist,95,Bangalore,119190,96495,89339,72000,Mid,7-14
3,Tata Consultancy Services,Data Scientist,66,Bangalore,83687,96490,89339,72000,Junior,1-6
4,Impact Analytics,Data Scientist,40,Bangalore,66957,96493,89339,72000,Junior,1-6
5,Accenture,Data Scientist,32,Bangalore,94411,96500,89339,72000,Junior,1-6
6,Infosys,Data Scientist,30,Bangalore,90876,96500,89339,72000,Junior,1-6
7,Capgemini,Data Scientist,28,Bangalore,92612,96502,89339,72000,Junior,1-6
8,Cognizant Technology Solutions,Data Scientist,26,Bangalore,73670,96503,89339,71958,Junior,1-6
9,Anheuser-Busch InBev,Data Scientist,25,Bangalore,164672,96508,89339,71916,Mid,7-14
10,Fractal,Data Scientist,22,Bangalore,139296,96492,89339,71916,Mid,7-14
11,Embibe,Data Scientist,20,Bangalore,140477,96482,89339,71916,Mid,7-14
12,Amazon,Data Scientist,19,Bangalore,150734,96472,89339,71916,Mid,7-14
13,Google,Data Scientist,19,Bangalore,155809,96460,89339,71916,Mid,7-14
14,Flipkart,Data Scientist,18,Bangalore,255784,96446,89339,71885,Mid,7-14
15,HP Inc.,Data Scientist,16,Bangalore,151000,96409,89339,71853,Mid,7-14
16,Wipro,Data Scientist,15,Bangalore,73282,96396,89338,71793,Junior,1-6
17,Ericsson-Worldwide,Data Scientist,15,Bangalore,122175,96402,89338,71733,Mid,7-14
18,MiQ,Data Scientist,15,Bangalore,173948,96396,89338,71728,Mid,7-14
19,Deloitte,Data Scientist,14,Bangalore,112493,96378,89338,71722,Mid,7-14
20,Microsoft,Data Scientist,14,Bangalore,163039,96374,89338,71677,Mid,7-14
21,Genpact,Data Scientist,14,Bangalore,100943,96359,89338,71632,Mid,7-14
22,HP Inc.,Data Scientist,14,Bangalore,55098,96358,89338,71629,Junior,1-6
23,HP Inc.,Data Scientist,13,Bangalore,167000,96367,89338,71632,Mid,7-14
24,Flutura,Data Scientist,13,Bangalore,75837,96351,89338,71629,Junior,1-6
25,Fuzzy Logix,Data Scientist,13,Bangalore,155657,96355,89338,71625,Mid,7-14
26,DXC Technology,Data Scientist,12,Bangalore,119432,96342,89338,71625,Mid,7-14
27,Jio,Data Scientist,11,Bangalore,147000,96336,89338,71625,Mid,7-14
28,Honeywell,Data Scientist,10,Bangalore,154994,96325,89337,71623,Mid,7-14
29,Affine,Data Scientist,10,Bangalore,100943,96311,89337,71621,Mid,7-14
30,Philips,Data Scientist,9,Bangalore,154157,96310,89337,71611,Mid,7-14
31,Bharat Light & Power,Data Scientist,9,Bangalore,81118,96297,89337,71600,Junior,1-6
32,Antuit,Data Scientist,9,Bangalore,120587,96300,89337,71579,Mid,7-14
33,Nielsen,Data Scientist,9,Bangalore,72711,96294,89337,71558,Junior,1-6
34,Accenture,Data Scientist,9,Bangalore,192325,96300,89337,71543,Mid,7-14
35,Fidelity Investments,Data Scientist,9,Bangalore,214350,96278,89337,71527,Mid,7-14
36,Myntra,Data Scientist,9,Bangalore,132696,96250,89336,71526,Mid,7-14
37,First Student,Data Scientist,9,Bangalore,49525,96242,89336,71524,Junior,1-6
